코드,영어 이름,RGB 값,,,,,
H1,White,"(255, 255, 255)",,,,,
H2,Black,"(0, 0, 0)",,,,,
H3,Red,"(230, 0, 19)",,,,,
H4,Yellow,"(255, 255, 0)",,,,,
H5,Blue,"(0, 0, 255)",,,,,
H6,Green,"(0, 128, 0)",,,,,
H7,Brown,"(165, 42, 42)",,,,,
H8,Silver,"(192, 192, 192)",,,,,
H9,Gold,"(255, 215, 0)",,,,,
H10,Copper,"(184, 115, 51)",,,,,
H11,Flat White,"(255, 255, 255)",,,,,
H12,Flat Black,"(0, 0, 0)",,,,,
H13,Flat Red,"(215, 13, 25)",,,,,
H14,Orange,"(255, 165, 0)",,,,,
H15,Bright Blue,"(1, 64, 153)",,,,,
H16,Yellow Green,"(29, 158, 59)",,,,,
H17,Cocoa Brown,"(85, 46, 50)",,,,,
H18,Steel,"(70, 70, 70)",,,,,
H19,Pink,"(235, 110, 149)",,,,,
H20,Flat Clear,"(255, 255, 255)",,,,,
H21,Off White,"(248, 247, 243)",,,,,
H22,Gray,"(85, 102, 114)",,,,,
H23,Shine Red,"(220, 20, 60)",,,,,
H24,Orange Yellow,"(238, 119, 0)",,,,,
H25,Sky Blue,"(0, 140, 214)",,,,,
H26,Bright Green,"(0, 153, 68)",,,,,
H27,Tan,"(201, 169, 101)",,,,,
H28,Metal Black,"(50, 50, 50)",,,,,
H29,Salmon Pink,"(234, 84, 66)",,,,,
H30,Gloss Clear,"(255, 255, 255)",,,,,
H31,White Green,"(144, 238, 144)",,,,,
H32,Field Gray (1),"(128, 128, 128)",,,,,
H33,Russet,"(128, 70, 27)",,,,,
H34,Cream Yellow,"(255, 253, 208)",,,,,
H35,Cobalt Blue,"(0, 71, 171)",,,,,
H36,Dark Green,"(0, 100, 0)",,,,,
H37,Wood Brown,"(139, 69, 19)",,,,,
H38,Steel Red,"(178, 34, 34)",,,,,
H39,Purple,"(128, 0, 128)",,,,,
H40,Flat Base,"(255, 255, 255)",,,,,
H41,Pale Green,"(152, 251, 152)",,,,,
H42,Blue Gray,"(102, 153, 204)",,,,,
H43,Wine Red,"(128, 0, 32)",,,,,
H44,Flesh,"(255, 224, 189)",,,,,
H45,Light Blue,"(173, 216, 230)",,,,,
H46,Emerald Green,"(80, 200, 120)",,,,,
H47,Red Brown,"(165, 42, 42)",,,,,
H48,Field Gray (2),"(105, 105, 105)",,,,,
H49,Violet,"(238, 130, 238)",,,,,
H50,Lime Green,"(50, 205, 50)",,,,,
H51,Light Gull Gray,"(211, 211, 211)",,,,,
H52,Olive Drab (1),"(107, 142, 35)",,,,,
H53,Neutral Gray,"(128, 128, 128)",,,,,
H54,Navy Blue,"(0, 0, 128)",,,,,
H55,Midnight Blue,"(25, 25, 112)",,,,,
H56,Intermediate Blue,"(100, 149, 237)",,,,,
H57,Aircraft Gray,"(169, 169, 169)",,,,,
H58,Interior Green,"(102, 178, 102)",,,,,
H59,IJN Green,"(0, 100, 0)",,,,,
H60,IJA Green,"(85, 107, 47)",,,,,
H61,IJN Gray,"(169, 169, 169)",,,,,
H62,IJA Gray,"(128, 128, 128)",,,,,
H63,Metallic Blue Green,"(0, 255, 255)",,,,,
H64,RLM71 Dark Green,"(0, 100, 0)",,,,,
H65,RLM70 Black Green,"(0, 100, 0)",,,,,
H66,RLM79 Sandy Brown,"(244, 164, 96)",,,,,
H67,RLM65 Light Blue,"(173, 216, 230)",,,,,
H68,RLM74 Gray Green,"(128, 128, 128)",,,,,
H69,RLM75 Gray Violet,"(128, 128, 128)",,,,,
H70,RLM02 Gray,"(128, 128, 128)",,,,,
H71,Middle Stone,"(210, 180, 140)",,,,,
H72,Dark Earth,"(101, 67, 33)",,,,,
H73,Dark Green,"(0, 100, 0)",,,,,
H74,Sky (Duck Egg Green),"(190, 255, 190)",,,,,
H75,Dark Sea Grey,"(169, 169, 169)",,,,,
H76,Burnt Iron,"(80, 80, 80)",,,,,
H77,Tire Black,"(30, 30, 30)",,,,,
H78,Olive Drab (2),"(107, 142, 35)",,,,,
H79,Dark Yellow,"(204, 204, 0)",,,,,
H80,Khaki Green,"(143, 143, 89)",,,,,
H81,Khaki,"(195, 176, 145)",,,,,
H82,Dark Gray (1),"(64, 64, 64)",,,,,
H83,Dark Gray (2),"(96, 96, 96)",,,,,
H84,Mahogany,"(192, 64, 0)",,,,,
H85,Sail Color,"(255, 255, 240)",,,,,
H86,Red Madder,"(227, 38, 54)",,,,,
H87,Metallic Red,"(178, 34, 34)",,,,,
H88,Metallic Blue,"(0, 0, 205)",,,,,
H89,Metallic Green,"(0, 128, 0)",,,,,
H90,Clear Red,"(255, 0, 0)",,,,,
H91,Clear Yellow,"(255, 255, 0)",,,,,
H92,Clear Orange,"(255, 165, 0)",,,,,
H93,Clear Blue,"(0, 0, 255)",,,,,
H94,Clear Green,"(0, 255, 0)",,,,,
H95,Smoke Gray,"(105, 105, 105)",,,,,
H96,Smoke Blue,"(70, 130, 180)",,,,,
H97,Fluorescent Yellow,"(255, 255, 0)",,,,,
H98,Fluorescent Orange,"(255, 165, 0)",,,,,
H99,Fluorescent Pink,"(255, 20, 147)",,,,,
H100,Fluorescent Green,"(0, 255, 0)",,,,,
H101,Premium Clear,"(255, 255, 255)",,,,,
H102,Premium Clear Semi-Gloss,"(255, 255, 255)",,,,,
H103,Premium Clear Flat,"(255, 255, 255)",,,,,
H104,Premium Flat Base,"(255, 255, 255)",,,,,
H110,Semi-Gloss Clear,"(255, 255, 255)",,,,,
H301,FS36081 Gray,"(36, 60, 69)",,,,,
H302,Green FS34092,"(37, 84, 80)",,,,,
H303,FS34102 Green,(71,,,,,
H304,Olive Drab FS34087,"(107, 142, 35)",,,,,
H305,Gray FS36118,"(83, 86, 90)",,,,,
H306,Gray FS36270,"(132, 135, 137)",,,,,
H307,Gray FS36320,"(143, 143, 143)",,,,,
H308,Gray FS36375,"(159, 161, 164)",,,,,
H309,Green FS34079,"(63, 73, 58)",,,,,
H310,Brown FS30219,"(121, 85, 61)",,,,,
H311,Gray FS36622,"(191, 193, 194)",,,,,
H312,Green FS34227,"(145, 163, 125)",,,,,
H313,Yellow FS33531,"(255, 211, 0)",,,,,
H314,Blue FS35622,"(156, 175, 199)",,,,,
H315,Gray FS16440,"(199, 199, 199)",,,,,
H316,White FS17875,"(255, 255, 255)",,,,,
H317,Gray FS36231,"(128, 128, 128)",,,,,
H318,Radome FS33613,"(255, 239, 184)",,,,,
H319,Light Green FS34151,"(193, 210, 183)",,,,,
H320,Dark Green FS34079,"(63, 73, 58)",,,,,
H321,Light Brown FS30219,"(121, 85, 61)",,,,,
H322,Light Gray FS36495,"(211, 211, 211)",,,,,
H323,Light Blue FS35164,"(173, 216, 230)",,,,,
H324,Light Gray FS36440,"(211, 211, 211)",,,,,
H325,Gray FS26440,"(169, 169, 169)",,,,,
H326,Blue FS15050,"(0, 0, 139)",,,,,
H327,Blue FS15044,"(0, 0, 205)",,,,,
H328,Blue FS15042,"(0, 0, 255)",,,,,
H329,Yellow FS13538,"(255, 255, 0)",,,,,
H330,Green FS34102,"(107, 142, 35)",,,,,
H331,Dark Sea Gray,"(105, 105, 105)",,,,,
H332,Light Aircraft Gray,"(211, 211, 211)",,,,,
H333,Extra Dark Sea Gray,"(64, 64, 64)",,,,,
H334,Barley Gray,"(192, 192, 192)",,,,,
H335,Medium Sea Gray,"(119, 136, 153)",,,,,
H336,Hemp,"(204, 204, 153)",,,,,
H337,Grayish Blue,"(119, 136, 153)",,,,,
H338,Light Gray,"(211, 211, 211)",,,,,
H339,Engine Gray,"(84, 88, 90) ",,,,,
H340,Field Green FS34097	,"(107, 142, 35)
",,,,,
H401,Dark Gray ,"(64, 64, 64)",,,,,
H402,Green Brown,"(85, 107, 47)",,,,,
H403,Dark Yellow,"(204, 204, 0)",,,,,
H404,Khaki Brown ,"(195, 176, 145)",,,,,
H405,Olive Green,"(107, 142, 35)",,,,,
H406,Chocolate Brown,"(123, 63, 0)",,,,,
H413,Yellow RLM04,"(255, 204, 0)",,,,,
H414,Red RLM23,"(204, 0, 0)",,,,,
H416,RLM66 Black Gray,"(64, 64, 64)",,,,,
H417,RLM76 Light Blue,"(173, 216, 230)",,,,,
H418,RLM78 Light Blue,"(135, 206, 235)",,,,,
H420,RLM80 Olive Green,"(85, 107, 47)",,,,,
H421,RLM81 Brown Violet,"(101, 67, 33)",,,,,
H422,RLM82 Light Green,"(144, 238, 144)",,,,,
H423,RLM83 Dark Green,"(0, 100, 0)",,,,,
H511,"Russian Green ""4BO"" ","(85, 107, 47)",,,,,
H512,"Russian Green ""4BO"" 1947-","(85, 107, 47)",,,,,
H513,Dark Gray,"(64, 64, 64)",,,,,
H514,Gray,"(128, 128, 128)",,,,,
H515,Faded Gray (Blassgrau),"(169, 169, 169)",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
